security || This patch is a security patch (SRP) because it fixes a NULL pointer access vulnerability in the kernel.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is a code change that handles a specific case when the data length is zero in the UBI (Unsorted Block Images) driver. It does not address any security vulnerabilities or issues.
security || This patch is a security patch (SRP) because it adds a NULL check for the ibqp event handler before calling it to report QP events. This check ensures that the event handler is initialized and prevents potential security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Security Patch (SRP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes an issue with an uninitialized device pointer in the hsi: nokia-modem driver.
security || This patch is a non-security patch (NSP). It fixes a buffer overflow issue and improves the coding style of the code.
security || This patch is a security patch (SRP) because it adds a check to ensure that the prefix and message are not NULL before adding a message to the raw buffer. This check helps prevent potential vulnerabilities or crashes that could occur if NULL values were allowed.
security || This patch is a security patch (SRP) because it fixes a memory leak issue in the xmlNanoFTPConnect() function, which could potentially be exploited by an attacker to cause a denial of service or execute arbitrary code.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a null pointer dereference bug that can be exploited by attackers.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an overflow check in the xenbus_file_write() function, which can potentially lead to security vulnerabilities.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an out-of-bounds read vulnerability in the KEYS subsystem of the Linux kernel.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to memory allocation and does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an information leak vulnerability in the netfilter module.
security || This patch is a security patch (SRP) because it fixes a potential read beyond the end of a buffer, which could lead to security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is not addressing any security vulnerabilities or fixing any security-related issues.
security || This patch is a security patch (SRP) because it fixes an information leak vulnerability in the ipvs module.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes an out of bound read vulnerability in the QDM2 decoder.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak in the edma_prep_dma_cyclic() function in the dma: edma driver.
security || This patch is a security patch (SRP) because it fixes a vulnerability related to page migration that could lead to oopses and potential security issues.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It is a code change that adds a sanity check and a workaround in the driver to avoid an infinite busy loop. It does not address any security vulnerabilities or fix any security issues.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a potential security vulnerability by initializing the mmc_command structure to zero in the mmc_send_if_cond function.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a possible memory leak with SSL certificate fingerprints, which is a security vulnerability.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a race condition issue in the btrfs file system, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential null dereference vulnerability in the pm8001_dev_gone_notify() function in the SCSI pm8001 driver.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that can lead to kernel stack corruption, which can be exploited by attackers.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue introduced during refactoring.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a security vulnerability related to lzo decompression.
security || This patch is a security patch (SRP) because it adds a NULL check to all PM ops in hda_intel.c, which helps prevent potential security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability in the secure monitor driver by checking the size of the output buffer.
security || This patch appears to be a non-security patch (NSP) as it is fixing a seg fault with exitredirect, which is not directly related to security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential buffer overflow vulnerability in the relay_http.c file.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability related to memory management and potential dereferencing of a bad pointer.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability related to checking for NULL before using data in the trusted-keys module.
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability related to the authentication of long-term keys in Bluetooth communication.
security || This patch is a non-security patch (NSP). It is fixing a bug related to checking for date overflow, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an integer overflow vulnerability in the gntalloc_ioctl_alloc() function, which could lead to memory corruption.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue in the code but does not address any security vulnerabilities.
security || This patch is a non-security patch (NSP). It introduces a missing kfree statement in the error handling code following a kmalloc.
security || This patch is a security patch (SRP) because it fixes a possible Denial of Service vulnerability (CVE-2012-5640) caused by a specially crafted .htpasswd file.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a NULL pointer dereference vulnerability that could be exploited by an attacker.
security || Security patch (SRP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability related to memory allocation and checking in the multicast feature of the IPv4 and IPv6 protocols.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch does not appear to be a security patch. It seems to be a work in progress (WIP) and does not address any specific security vulnerabilities or issues.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to myisam index corruption and a pointless cast in safemalloc, but it does not address any security vulnerabilities.
security || This patch is a security patch (SRP) because it fixes a potential livelock issue in the hugetlb module, which could potentially be exploited by an attacker to cause a denial of service or other security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential security vulnerability by checking if the bssid is not NULL before executing certain code.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a double free vulnerability in the tun driver that can lead to a security issue.
security || This patch is a security patch (SRP) because it fixes an issue related to out-of-bounds reads in the netfilter x_tables module, which can lead to security vulnerabilities.
security || This patch does not appear to be a security patch. It seems to be a fix for a specific issue related to the crypto_cps2.c file.
security || This patch is a security patch (SRP) because it fixes an information leak in the marshalling code, which could lead to the leaking of contents of kernel stack memory to userspace.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug in the write_graphite plugin by correcting trailing underscores and potentially fixing an off-by-one error.
security || Security patch (SRP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a possible NULL pointer dereference vulnerability in the nfnetlink_log module.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential buffer overflow in the lpfc_nvme_info_show() function.
security || This patch is a security patch (SRP) because it fixes a potential racing issue during tfm allocation in the evm_crypto.c file, which is related to security and integrity.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it checks the return value of the realloc function and returns NULL if it fails. This is important for preventing potential memory allocation errors and vulnerabilities.
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a fault in the IPv6 route code that could cause a general protection fault and potential security vulnerability.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It is fixing a bug related to the ext3 and ext4 file systems, specifically addressing a race condition between linking and unlinking files. The patch ensures that if the link count of an inode is 0, it returns -ENOENT to prevent potential corruption of the orphan inode list. While this patch improves the stability and integrity of the file systems, it does not directly address any security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a null pointer dereference vulnerability in the _gdScaleVert function.
security || This patch is a security patch (SRP) because it fixes a vulnerability that could potentially leak kernel stack memory to userland.
security || This patch is a security patch (SRP) because it fixes a vulnerability that could allow an attacker to access invalid memory.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to the AFU RRQ in the cxlflash driver, preventing stale data and out of sync generation bit issues.
security || This patch appears to be a security patch (SRP) because it fixes potential buffer overflows when configured with --enable-opensslextra.
security || This patch is a non-security patch (NSP). It is fixing a bug related to checking the input value for activity period in the iio: accel: mma9553 driver. It adds a boundary check to ensure that only allowed values are reported as successfully written to the device.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a bug that could lead to a stack guard page being hit and a kernel stack overflow.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an out of bound read vulnerability in the vmd_decode() function of the vmd video decoder.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability where an uninitialized int could be passed to the enable() function if the input value was invalid.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a possible buffer overflow vulnerability in the udev_util_encode_string() function.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a buffer overflow problem in the code, which can be exploited by attackers to gain unauthorized access or execute arbitrary code.
security || This patch is a non-security patch (NSP). It fixes a bug related to the tridentfb driver and does not address any security vulnerabilities.
security || This patch is a security patch (SRP) because it fixes an integer overflow vulnerability that could potentially lead to further security issues.
security || This patch is a non-security patch (NSP). It fixes a micro-leak issue in the code but does not address any security vulnerabilities.
security || This patch is a security patch (SRP) because it fixes an information leak to userland, which can potentially expose sensitive data from the kernel stack memory.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue in the code but does not address any security vulnerabilities.
security || Security patch (SRP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a data corruption issue in the smb_proc_setattr_unix() function in the fs/smbfs/proc.c file.
security || Non-security patch (NSP)
security || This patch appears to be a non-security patch (NSP) as it fixes a crash issue related to passing NULL to a specific function in the code.
security || This patch is a non-security patch (NSP).
security || This patch appears to be a security patch (SRP) because it fixes a null pointer dereference issue in the client code, which can be a security vulnerability.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a possible buffer overflow vulnerability that can lead to a server crash.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it adds mutex protection for the interface list, which could cause issues if not protected.
security || This patch is a non-security patch (NSP). It fixes a bug related to the representation of extension class methods, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a buffer overflow vulnerability in the `readline` function.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leakage issue in the omap_gem_dmabuf.c file.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a buffer overflow vulnerability in the functions acl_get() and check_grant_db() in sql_acl.cc.
security || This patch is a non-security patch (NSP). It is a code improvement that fixes a bug related to the behavior of the btrfs readdir() function. It does not address any security vulnerabilities or threats.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential integer overflow vulnerability that could result in a cross-domain attack.
security || This patch is a non-security patch (NSP). It fixes a bug related to memory management in the nb8800_receive() function of the net driver. The bug causes a memory leak when the function fails to allocate a fragment. The patch addresses this issue by freeing the SKB (socket buffer) before returning.
security || This patch is a security patch (SRP) because it fixes a vulnerability related to reading uninitialised data beyond the actual reply in the authd/providers/ident.c file.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability that can lead to overwriting kernel memory.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a potential buffer overflow vulnerability.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes possible memory leaks when sending phase 1 IDs, which can be a security vulnerability.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it adds missing NULL checks, which can help prevent potential security vulnerabilities.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP). It fixes a potential memory leak in the kernel/relay.c file.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a potential crash that could occur due to accessing functions in the Data Link protocol layer after it has been closed.
security || This patch is a security patch (SRP) because it fixes a memory leak in the subject alternative name code, which can be a potential security vulnerability.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory leak in the SCTP protocol that can be exploited by passing an invalid user space pointer.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a bug related to file hole detection in the Btrfs file system, which could lead to data corruption.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it adds validation to the incoming_posn value in order to avoid out-of-bounds array accesses, which could potentially be exploited by an attacker.
security || This patch is a non-security patch (NSP). It fixes a bug related to memory leaks in the "curve-bend.c" file of the plug-ins/common directory.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that could potentially lead to memory corruption or data corruption.
security || This patch is a security patch (SRP) because it prevents a crash by adding sanity checks to buffer reads.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory leak and a potential security vulnerability in the USB driver.
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes an out-of-bounds check in the lock_dbg_cb function, which could potentially lead to security vulnerabilities.
security || This patch is a security patch (SRP) because it adds a null check to the code in order to prevent potential security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a potential buffer overflow vulnerability in the ffserver.c file.
security || This patch is a security patch (SRP) because it fixes an overflow vulnerability in the libceph library.
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is a code improvement that fixes a potential data corruption issue but does not address any security vulnerabilities.
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It is fixing a bug related to handling /proc/kmsg reads returning 0, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch appears to be a security patch (SRP) because it fixes a potential use-after-free vulnerability in the proc subsystem.
security || This patch is a security patch (SRP) because it fixes a deadlock issue that could potentially be exploited by an attacker.
security || This patch is a security patch (SRP) because it fixes a potential vulnerability related to dereferencing a NULL pointer.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak in the subreader, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP). It fixes a compiler warning on Solaris related to a type mismatch in a function pointer assignment. It does not address any security vulnerabilities or issues.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It is a code change that fixes a bug related to debugging messages in the virt-df program.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP). It fixes a bug related to the handling of the CS5 setting on the PL2303 USB-to-serial devices. It does not address any security vulnerabilities or threats.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It is fixing a bug related to handling failure to send a new NoA (Notice of Absence) in the ath9k driver.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It is a code cleanup and does not involve any security-related changes or fixes.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It fixes an issue related to updating the local name in the Bluetooth module, but it does not address any security vulnerabilities.
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP). It adds checks to see if malloc failed when allocating memory for certain members, but it does not address any security vulnerabilities or fixes any security issues.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It is a fix for a specific issue related to managing the journal block descriptor (jbd) slab in the Linux kernel. It does not address any security vulnerabilities or threats.
non-security || This patch is a non-security patch (NSP).
non-security || This patch appears to be a security patch (SRP) because it fixes a vulnerability related to the iscsi module, specifically addressing a redirection issue with Equallogic systems.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP). It is fixing a bug related to the rt2500usb driver and WPA encryption, but it does not address any security vulnerabilities.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It appears to be fixing a typo in the code, which does not relate to security vulnerabilities or threats.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || This patch is a security patch (SRP) because it fixes a vulnerability in the code that could lead to bad memory accesses if userspace does not deliver a relocation table when accessing address registers.
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a security patch (SRP) because it fixes a bug that can lead to a sleeping function being called from an invalid context, which can potentially be exploited by an attacker.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It removes an unneeded function and does not address any security vulnerabilities or issues.
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It is not related to fixing any security vulnerabilities or addressing any security issues. It is a performance improvement patch that adds cpu_relax() calls in two functions to reduce cross-cache traffic.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a security patch (SRP) because it fixes a vulnerability related to the enable_kernel_altivec() function in the powerpc/crypto/crc32c-vpmsum module.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || This patch is a non-security patch (NSP). It fixes a naming issue in the ASoC driver for the TLV320AIC3X codec, changing "MONOLOUT" to "MONO_LOUT". This change does not address any security vulnerabilities or threats.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP). It fixes an issue related to the CURLOPT_SSH_AUTH_TYPES option in the libcurl library, but it does not address any security vulnerabilities.
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch appears to be a non-security patch (NSP) as it is fixing a bug related to the user-mode Linux (UML) kernel and improving performance, rather than addressing a security vulnerability.
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || This patch is a non-security patch (NSP).
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
non-security || Non-security patch (NSP)
